Product,Associated Product,Confidence,Customer Country
Diamondback Women's Serene Classic Comfort Bi,Field & Stream Sportsman 16 Gun Fire Safe,0.12247430676750048,Mexico
Diamondback Women's Serene Classic Comfort Bi,Nike Men's CJ Elite 2 TD Football Cleat,0.22410217711973113,Mexico
Diamondback Women's Serene Classic Comfort Bi,Nike Men's Dri-FIT Victory Golf Polo,0.17775447160727334,Mexico
Diamondback Women's Serene Classic Comfort Bi,Nike Men's Free 5.0+ Running Shoe,0.09663240902333398,Mexico
Diamondback Women's Serene Classic Comfort Bi,O'Brien Men's Neoprene Life Vest,0.2046007127394824,Mexico
Diamondback Women's Serene Classic Comfort Bi,Pelican Sunstream 100 Kayak,0.15916230366492148,Mexico
Diamondback Women's Serene Classic Comfort Bi,Perfect Fitness Perfect Rip Deck,0.21882593017485305,Mexico
Diamondback Women's Serene Classic Comfort Bi,Under Armour Girls' Toddler Spine Surge Runni,0.12558868971597345,Mexico
Field & Stream Sportsman 16 Gun Fire Safe,Diamondback Women's Serene Classic Comfort Bi,0.13114521170787155,Mexico
Field & Stream Sportsman 16 Gun Fire Safe,Nike Men's CJ Elite 2 TD Football Cleat,0.23755973715651135,Mexico
Field & Stream Sportsman 16 Gun Fire Safe,Nike Men's Dri-FIT Victory Golf Polo,0.17754976318484383,Mexico
Field & Stream Sportsman 16 Gun Fire Safe,Nike Men's Free 5.0+ Running Shoe,0.10995741164505467,Mexico
Field & Stream Sportsman 16 Gun Fire Safe,O'Brien Men's Neoprene Life Vest,0.2165316586950528,Mexico
Field & Stream Sportsman 16 Gun Fire Safe,Pelican Sunstream 100 Kayak,0.17879037961485128,Mexico
Field & Stream Sportsman 16 Gun Fire Safe,Perfect Fitness Perfect Rip Deck,0.24233957935812192,Mexico
Field & Stream Sportsman 16 Gun Fire Safe,Under Armour Girls' Toddler Spine Surge Runni,0.13654970760233917,Mexico
Nike Men's CJ Elite 2 TD Football Cleat,Diamondback Women's Serene Classic Comfort Bi,0.15045560803396785,Mexico
Nike Men's CJ Elite 2 TD Football Cleat,Field & Stream Sportsman 16 Gun Fire Safe,0.12936190251942548,Mexico
Nike Men's CJ Elite 2 TD Football Cleat,Nike Men's Dri-FIT Victory Golf Polo,0.19613867711749955,Mexico
Nike Men's CJ Elite 2 TD Football Cleat,Nike Men's Free 5.0+ Running Shoe,0.1241674068924677,Mexico
Nike Men's CJ Elite 2 TD Football Cleat,O'Brien Men's Neoprene Life Vest,0.1832035223633445,Mexico
Nike Men's CJ Elite 2 TD Football Cleat,Pelican Sunstream 100 Kayak,0.1449547932176385,Mexico
Nike Men's CJ Elite 2 TD Football Cleat,Perfect Fitness Perfect Rip Deck,0.24268488328009005,Mexico
Nike Men's CJ Elite 2 TD Football Cleat,Under Armour Girls' Toddler Spine Surge Runni,0.10939180237646977,Mexico
Nike Men's Dri-FIT Victory Golf Polo,Diamondback Women's Serene Classic Comfort Bi,0.13440191987988534,Mexico
Nike Men's Dri-FIT Victory Golf Polo,Field & Stream Sportsman 16 Gun Fire Safe,0.1432998924207364,Mexico
Nike Men's Dri-FIT Victory Golf Polo,Nike Men's CJ Elite 2 TD Football Cleat,0.20998881883928408,Mexico
Nike Men's Dri-FIT Victory Golf Polo,Nike Men's Free 5.0+ Running Shoe,0.135186651149993,Mexico
Nike Men's Dri-FIT Victory Golf Polo,O'Brien Men's Neoprene Life Vest,0.19877298745585192,Mexico
Nike Men's Dri-FIT Victory Golf Polo,Pelican Sunstream 100 Kayak,0.13748907465872512,Mexico
Nike Men's Dri-FIT Victory Golf Polo,Perfect Fitness Perfect Rip Deck,0.17315170834839572,Mexico
Nike Men's Dri-FIT Victory Golf Polo,Under Armour Girls' Toddler Spine Surge Runni,0.11924093094027735,Mexico
Nike Men's Free 5.0+ Running Shoe,Diamondback Women's Serene Classic Comfort Bi,0.14942212106706648,Mexico
